2024-06-12 18:58:51,314 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-06-12 18:58:51,315 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Configure stats pid to 39304
2024-06-12 18:58:51,315 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tian_\.config\wandb\settings
2024-06-12 18:58:51,315 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Loading settings from c:\Users\tian_\Desktop\GitHub\Proyecto3IA\wandb\settings
2024-06-12 18:58:51,315 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-06-12 18:58:51,315 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-06-12 18:58:51,323 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-12 18:58:51,323 INFO    MainThread:39304 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-12 18:58:51,323 INFO    MainThread:39304 [wandb_init.py:_log_setup():527] Logging user logs to .\wandb\run-20240612_185851-0du8wprc\logs\debug.log
2024-06-12 18:58:51,323 INFO    MainThread:39304 [wandb_init.py:_log_setup():528] Logging internal logs to .\wandb\run-20240612_185851-0du8wprc\logs\debug-internal.log
2024-06-12 18:58:51,323 INFO    MainThread:39304 [wandb_init.py:_jupyter_setup():473] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000018A1BC49310>
2024-06-12 18:58:51,323 INFO    MainThread:39304 [wandb_init.py:init():567] calling init triggers
2024-06-12 18:58:51,323 INFO    MainThread:39304 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-06-12 18:58:51,324 INFO    MainThread:39304 [wandb_init.py:init():617] starting backend
2024-06-12 18:58:51,324 INFO    MainThread:39304 [wandb_init.py:init():621] setting up manager
2024-06-12 18:58:51,328 INFO    MainThread:39304 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-06-12 18:58:51,330 INFO    MainThread:39304 [wandb_init.py:init():629] backend started and connected
2024-06-12 18:58:51,334 INFO    MainThread:39304 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-06-12 18:58:51,335 INFO    MainThread:39304 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-06-12 18:58:51,335 INFO    MainThread:39304 [wandb_init.py:init():721] updated telemetry
2024-06-12 18:58:51,335 INFO    MainThread:39304 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-06-12 18:58:52,224 INFO    MainThread:39304 [wandb_run.py:_on_init():2344] communicating current version
2024-06-12 18:58:53,009 INFO    MainThread:39304 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.17.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-12 18:58:53,009 INFO    MainThread:39304 [wandb_init.py:init():805] starting run threads in backend
2024-06-12 18:58:53,261 INFO    MainThread:39304 [wandb_run.py:_console_start():2323] atexit reg
2024-06-12 18:58:53,261 INFO    MainThread:39304 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-06-12 18:58:53,261 INFO    MainThread:39304 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-06-12 18:58:53,262 INFO    MainThread:39304 [wandb_run.py:_redirect():2268] Redirects installed.
2024-06-12 18:58:53,262 INFO    MainThread:39304 [wandb_init.py:init():848] run started, returning control to user process
2024-06-12 19:02:45,200 INFO    MainThread:39304 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-06-12 19:02:45,200 INFO    MainThread:39304 [wandb_init.py:_pause_backend():438] pausing backend
